12/04/2020, 15:27:39	12/04/2020, 15:10:06	BusinessJournal	The week in bankruptcies: BSP Trucking Inc. and Bimbo and Sons Corp.	https://www.bizjournals.com/sacramento/news/2020/12/04/the-week-in-bankruptcies.html?ana=brss_1028	This week in Sacramento business bankruptcies includes BSP Trucking Inc. and Bimbo and Sons Corp. For the year, Sacramento has recorded 56 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('BSP Trucking Inc.', 'ORG')('Bimbo and Sons Corp.', 'ORG')	-
12/04/2020, 15:27:39	12/04/2020, 14:58:49	BusinessJournal	Ex-Google exec’s lending startup Upstart seeks unicorn valuation in IPO	https://www.bizjournals.com/sanjose/news/2020/12/04/upstart-holdings-sets-terms-for-ipo.html?ana=brss_1028	The San Mateo company led by former Google Enterprise President Dave Girouard would be valued at $1.6 billion at the top of its IPO targets, more than double where it was valued 18 months ago.	(IPOs)	Not Computed	('Ex-Google', 'PERSON')	-
12/04/2020, 15:27:39	12/04/2020, 14:51:24	BusinessJournal	Soaring IPO values Redwood City bio-analysis business Seer at over $2B	https://www.bizjournals.com/sanjose/news/2020/12/04/seer-raises-175m-in-upsized-ipo.html?ana=brss_1028	The company's stock more than doubled in its debut after its IPO topped price targets and sold more shares than expected.	(IPOs)	Not Computed	('Redwood City', 'GPE')('Seer', 'PERSON')('over $2B', 'MONEY')	-
12/04/2020, 15:27:39	12/04/2020, 13:56:05	BusinessJournal	Francesca's files Chapter 11 bankruptcy, plans to sell company to investor	https://www.bizjournals.com/houston/news/2020/12/04/francescas-bankruptcy-auction-sale.html?ana=brss_1028	“Implementing this process allows Francesca’s to address our lease obligations and seek a new investor that can see Francesca’s into the future," said Francesca's CEO Andrew Clarke, adding that the process will allow the company to "continue to focus on our omni-channel strategies, optimize our boutique fleet, broaden our customer reach with brand extensions and drive sustainable, profitable growth."	(Bankruptcy)	Not Computed	('Francesca', 'PERSON')('Chapter 11', 'LAW')	-
12/04/2020, 15:27:39	12/04/2020, 13:36:07	BusinessJournal	The week in bankruptcies: Ark.-based real estate company files for voluntary Chapter 7	https://www.bizjournals.com/memphis/news/2020/12/04/the-week-in-bankruptcies-js-investments-inc.html?ana=brss_1028	An Arkansas-based real estate company has filed for voluntary Chapter 7 bankruptcy.	(Bankruptcy)	Not Computed	('The week', 'DATE')('Chapter 7', 'LAW')	-
12/04/2020, 15:27:39	12/04/2020, 00:10:05	BusinessJournal	Milwaukee-area Anytime Fitness franchisee files for Chapter 11	https://www.bizjournals.com/milwaukee/news/2020/12/03/milwaukee-area-anytime-fitness-franchisee-files.html?ana=brss_1028	Two related companies in Brookfield that operate Anytime Fitness locations in Milwaukee and Waukesha counties filed for Chapter 11 reorganization, citing a loss of paying members during the Covid-19 pandemic and Gov. Tony Evers' “Safer At Home” shutdown order.	(Bankruptcy)	Not Computed	('Milwaukee', 'GPE')('Anytime Fitness', 'ORG')('Chapter 11', 'LAW')	-
12/04/2020, 15:27:39	12/03/2020, 21:13:42	BusinessJournal	Men's Wearhouse parent Tailored Brands emerges from bankruptcy as private co.	https://www.bizjournals.com/phoenix/news/2020/12/03/tailored-brands-emerges-from-bankruptcy.html?ana=brss_1028	Tailored Brands is now a private company, and it filed a Form 15 with the U.S. Securities and Exchange Commission deregistering its common stock on Dec. 1.	(Bankruptcy)	Not Computed	("Men's Wearhouse", 'ORG')('Tailored Brands', 'PERSON')	-
12/04/2020, 15:27:39	12/03/2020, 21:07:15	BusinessJournal	Journal Profile: The wisdom of bankruptcy law expert Steve Sather	https://www.bizjournals.com/austin/news/2020/12/03/journal-profile-bankruptcy-attorney-steve-sather.html?ana=brss_1028	Steve Sather is a go-to bankruptcy attorney in Austin. Find out what he learned from Elizabeth Warren — who before she was a presidential candidate was a leading bankruptcy scholar — and why one of his favorite cases involved a local church.	(Bankruptcy)	Not Computed	('Journal Profile', 'PERSON')('Steve Sather', 'PERSON')	-
12/04/2020, 15:27:39	12/03/2020, 20:30:00	BusinessJournal	The week in South Florida bankruptcies: Denials Recovery Group, Saona Holding LLC and 3 more	https://www.bizjournals.com/southflorida/news/2020/12/03/the-week-in-bankruptcies-teras-america-llc-teras-breakbuilk-shipping-llc-and-6-m.html?ana=brss_1028	For the year, South Florida courts have recorded 221 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('South Florida', 'LOC')('Denials Recovery Group', 'ORG')('Saona Holding LLC', 'ORG')('3', 'CARDINAL')	-
12/04/2020, 15:27:39	12/03/2020, 20:28:15	BusinessJournal	Gary Wunderlich kicks off initial public offering, again	https://www.bizjournals.com/memphis/news/2020/12/03/gary-wunderlich-space.html?ana=brss_1028	The special purpose acquisition company (SPAC) announced it had priced its initial public offering of 22 million units at $10.00 per unit.	(IPOs)	Not Computed	('Gary Wunderlich', 'PERSON')	-
